file_name(auto_baud_pack.vhd)
component;signal_name;type;size;instance src;component_src;instance_dst;component_dst
auto_baud_with_tracking;sys_rst_n;std_logic;1;input;input;auto_baud_with_tracking;auto_baud_with_tracking
auto_baud_with_tracking;sys_clk;std_logic;1;input;input;auto_baud_with_tracking;auto_baud_with_tracking
auto_baud_with_tracking;sys_clk_en;std_logic;1;input;input;auto_baud_with_tracking;auto_baud_with_tracking
auto_baud_with_tracking;rx_parity_i;unsigned(1 downto 0);unknown;input;input;auto_baud_with_tracking;auto_baud_with_tracking
auto_baud_with_tracking;rx_stream_i;std_logic;1;input;input;auto_baud_with_tracking;auto_baud_with_tracking
auto_baud_with_tracking;baud_lock_o;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;output;output
auto_baud_with_tracking;baud_clk_o;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;output;output
Internal;fsm_state;fsm_state_type;unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;baud_lock;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;char_mismatch;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;baud_count;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;baud_div;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;measurement;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;half_check;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;half_measurement;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;delta;unsigned(main_count_width-1 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;target_bits;unsigned(8 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;target_bit_count;unsigned(3 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;parity;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;edge_count;unsigned(3 downto 0);unknown;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;edge;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
Internal;rx_stream_r1;std_logic;1;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking;auto_baud_with_tracking
